,Key,Title,Description,CategoryGroupID
0,T001161,"Misdrijven, totaal","Totaalcategorie voor alle soorten misdrijven. Een misdrijf is een strafbaar feit van de zwaarste soort, als zodanig aangeduid in de strafwetten.",1
1,CRI1000,1 Vermogensmisdrijven,"Hieronder vallen alle vormen van diefstal en inbraak. Daarnaast vallen verduistering, bedrog, valsheidsmisdrijven, afpersing, bankbreuk en
 witwassen in deze categorie misdrijven.",2
2,CRI1100,11 Diefstal/verduistering en inbraak,"Vermogensmisdrijf omschreven in artikel 310-312, 321-325 Wetboek van Strafrecht.",2
3,CRI1110,111 Diefstal en inbraak met geweld,Vermogensmisdrijf omschreven in artikel 312 Wetboek van Strafrecht.,2
4,CRI1120,112 Diefstal en inbraak zonder geweld,"Vermogensmisdrijf omschreven in artikel 310-311, 321-325 Wetboek van Strafrecht.",2
5,CRI1200,12 Bedrog,Vermogensmisdrijf omschreven in artikel 326-338 Wetboek van Strafrecht.,2
6,CRI1210,121 Oplichting,"Vermogensmisdrijf omschreven in artikel 326 Wetboek van Strafrecht.

Tot 2015 werd Fraude met online handel geregistreerd bij het Meldpunt Internetoplichting en werd het niet in de geregistreerde criminaliteit in deze tabel geteld. Hierdoor is van 2014 op 2015 een grote toename zichtbaar van Oplichting.",2
7,CRI1220,122 Flessentrekkerij,Vermogensmisdrijf omschreven in artikel 326a Wetboek van Strafrecht.,2
8,CRI1230,123 Bedrog (overig),Vermogensmisdrijf omschreven in artikel 326b-338 Wetboek van Strafrecht.,2
9,CRI1300,13 Valsheidsmisdrijven,"Vermogensmisdrijf omschreven in artikel 208-214, 216-223, 225-234 Wetboek van Strafrecht.",2
10,CRI1310,131 Muntmisdrijf,Vermogensmisdrijf omschreven in artikel 208-214 Wetboek van Strafrecht.,2
11,CRI1320,132 Valsheid in zegels en merken,Vermogensmisdrijf omschreven in artikel 216-223 Wetboek van Strafrecht.,2
12,CRI1330,133 Valsheid in geschriften,Vermogensmisdrijf omschreven in artikel 225-234 Wetboek van Strafrecht.,2
13,CRI1400,14 Heling,Vermogensmisdrijf omschreven in artikel 416-417bis Wetboek van Strafrecht.,2
14,CRI1500,15 Afpersing en afdreiging,Vermogensmisdrijf omschreven in artikel 317-318 Wetboek van Strafrecht.,2
15,CRI1600,16 Bankbreuk,Vermogensmisdrijf omschreven in artikel 340-343 Wetboek van Strafrecht.,2
16,CRI1700,17 Witwassen,Vermogensmisdrijf omschreven in artikel 420bis-420quater Wetboek van Strafrecht.,2
