Populatie,Key,Regio
17590672.0,NL01  ,Nederland
590170.0,PV20  ,Groningen (PV)
654019.0,PV21  ,Fryslân (PV)
497743.0,PV22  ,Drenthe (PV)
1171910.0,PV23  ,Overijssel (PV)
434771.0,PV24  ,Flevoland (PV)
2110472.0,PV25  ,Gelderland (PV)
1369873.0,PV26  ,Utrecht (PV)
2909827.0,PV27  ,Noord-Holland (PV)
3753944.0,PV28  ,Zuid-Holland (PV)
386767.0,PV29  ,Zeeland (PV)
2592874.0,PV30  ,Noord-Brabant (PV)
1118302.0,PV31  ,Limburg (PV)
25579.0,GM1680,Aa en Hunze
,GM0738,Aalburg
32452.0,GM0358,Aalsmeer
27100.0,GM0197,Aalten
,GM0305,Abcoude
27954.0,GM0059,Achtkarspelen
20087.0,GM0482,Alblasserdam
25934.0,GM0613,Albrandswaard
110783.0,GM0361,Alkmaar
73155.0,GM0141,Almelo
217828.0,GM0034,Almere
112926.0,GM0484,Alphen aan den Rijn
10425.0,GM1723,Alphen-Chaam
57009.0,GM1959,Altena
3757.0,GM0060,Ameland
158590.0,GM0307,Amersfoort
92331.0,GM0362,Amstelveen
882633.0,GM0363,Amsterdam
,GM0364,Andijk
,GM0366,Anna Paulowna
165611.0,GM0200,Apeldoorn
,GM0003,Appingedam
163888.0,GM0202,Arnhem
68979.0,GM0106,Assen
17068.0,GM0743,Asten
6931.0,GM0744,Baarle-Nassau
24876.0,GM0308,Baarn
48714.0,GM0489,Barendrecht
60584.0,GM0203,Barneveld
,GM0005,Bedum
15817.0,GM0888,Beek (L.)
35922.0,GM1954,Beekdaelen
,GM0370,Beemster
13408.0,GM0889,Beesel
,GM0007,Bellingwedde
34951.0,GM1945,Berg en Dal
,GM0491,Bergambacht
18879.0,GM1724,Bergeijk
13106.0,GM0893,Bergen (L.)
29723.0,GM0373,Bergen (NH.)
67894.0,GM0748,Bergen op Zoom
43850.0,GM1859,Berkelland
31715.0,GM1721,Bernheze
,GM0568,Bernisse
30608.0,GM0753,Best
26235.0,GM0209,Beuningen
42084.0,GM0375,Beverwijk
,GM0063,het Bildt
43508.0,GM0310,De Bilt
,GM0585,Binnenmaas
20718.0,GM1728,Bladel
12359.0,GM0376,Blaricum
23732.0,GM0377,Bloemendaal
,GM0055,Boarnsterhim
,GM0497,Bodegraven
35752.0,GM1901,Bodegraven-Reeuwijk
11030.0,GM0755,Boekel
,GM0009,Ten Boer
,GM0064,Bolsward
25681.0,GM1681,Borger-Odoorn
24007.0,GM0147,Borne
22847.0,GM0654,Borsele
,GM0499,Boskoop
,GM0756,Boxmeer
33129.0,GM0757,Boxtel
184702.0,GM0758,Breda
,GM0311,Breukelen
17704.0,GM0501,Brielle
36077.0,GM1876,Bronckhorst
20890.0,GM0213,Brummen
27674.0,GM0899,Brunssum
15590.0,GM0312,Bunnik
22325.0,GM0313,Bunschoten
27155.0,GM0214,Buren
,GM0381,Bussum
67188.0,GM0502,Capelle aan den IJssel
36263.0,GM0383,Castricum
35517.0,GM0109,Coevorden
20669.0,GM1706,Cranendonck
,GM0611,Cromstrijen
,GM1684,Cuijk
29397.0,GM0216,Culemborg
29162.0,GM0148,Dalfsen
18957.0,GM1891,Dantumadiel
104572.0,GM0503,Delft
,GM0010,Delfzijl
32606.0,GM0762,Deurne
101446.0,GM0150,Deventer
31822.0,GM0384,Diemen
87695.0,GM1980,Dijk en Waard
26594.0,GM1774,Dinkelland
,GM0504,Dirksland
11036.0,GM0221,Doesburg
58546.0,GM0222,Doetinchem
26483.0,GM0766,Dongen
,GM0058,Dongeradeel
119537.0,GM0505,Dordrecht
19983.0,GM0498,Drechterland
27476.0,GM1719,Drimmelen
42865.0,GM0303,Dronten
19178.0,GM0225,Druten
24946.0,GM0226,Duiven
31731.0,GM1711,Echt-Susteren
36471.0,GM0385,Edam-Volendam
119986.0,GM0228,Ede
9450.0,GM0317,Eemnes
45389.0,GM1979,Eemsdelta
,GM1651,Eemsmond
19823.0,GM0770,Eersel
,GM0905,Eijsden
25857.0,GM1903,Eijsden-Margraten
238326.0,GM0772,Eindhoven
23740.0,GM0230,Elburg
107856.0,GM0114,Emmen
18620.0,GM0388,Enkhuizen
160640.0,GM0153,Enschede
33257.0,GM0232,Epe
27258.0,GM0233,Ermelo
44152.0,GM0777,Etten-Leur
,GM1722,Ferwerderadiel
,GM0070,Franekeradeel
,GM1921,De Friese Meren
51597.0,GM1940,De Fryske Marren
,GM0653,Gaasterlân-Sleat
21944.0,GM0779,Geertruidenberg
,GM0236,Geldermalsen
40131.0,GM1771,Geldrop-Mierlo
31040.0,GM1652,Gemert-Bakel
17237.0,GM0907,Gennep
,GM0689,Giessenlanden
26557.0,GM0784,Gilze en Rijen
,GM0511,Goedereede
51051.0,GM1924,Goeree-Overflakkee
38950.0,GM0664,Goes
23979.0,GM0785,Goirle
58846.0,GM1942,Gooise Meren
37632.0,GM0512,Gorinchem
74095.0,GM0513,Gouda
,GM0693,Graafstroom
,GM0365,Graft-De Rijp
,GM0786,Grave
553417.0,GM0518,'s-Gravenhage (gemeente)
,GM0241,Groesbeek
234950.0,GM0014,Groningen (gemeente)
,GM0015,Grootegast
14178.0,GM1729,Gulpen-Wittem
24268.0,GM0158,Haaksbergen
,GM0788,Haaren
162898.0,GM0392,Haarlem
,GM0393,Haarlemmerliede en Spaarnwoude
159336.0,GM0394,Haarlemmermeer
30770.0,GM1655,Halderberge
61798.0,GM0160,Hardenberg
48857.0,GM0243,Harderwijk
18511.0,GM0523,Hardinxveld-Giessendam
,GM0017,Haren
,GM0395,Harenkarspel
